review_id,property_id,month,review_type,issue_category,severity,finding_description,recommendation,status,owner,synthetic_record
REV-0000001,PROP-0039,2025-07-01,Vendor Invoice Review,Late payment,Low,Invoice INV-0039-07-02350 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Riley Chen,True
REV-0000002,PROP-0168,2025-11-01,Vendor Invoice Review,Approval status: Rejected,Medium,Invoice INV-0168-11-10148 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Jordan Lee,True
REV-0000003,PROP-0102,2025-09-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0102-09-06195 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Nadia Williams,True
REV-0000004,PROP-0148,2025-11-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0148-11-08957 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Riley Chen,True
REV-0000005,PROP-0119,2025-12-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0119-12-07237 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Casey Rivera,True
REV-0000006,PROP-0013,2025-06-01,Vendor Invoice Review,Late payment; Approval status: Pending,High,"Invoice INV-0013-06-00804 requires review: Late payment, Approval status: Pending.","Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Cameron Brooks,True
REV-0000007,PROP-0055,2025-08-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0055-08-03354 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Taylor Morgan,True
REV-0000008,PROP-0155,2025-06-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0155-06-09364 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Nadia Williams,True
REV-0000009,PROP-0145,2025-06-01,Vendor Invoice Review,Missing GL code,Medium,Invoice INV-0145-06-08769 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Jordan Lee,True
REV-0000010,PROP-0112,2025-10-01,Vendor Invoice Review,Missing GL code; Approval status: Pending,High,"Invoice INV-0112-10-06819 requires review: Missing GL code, Approval status: Pending.","Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Samira Khan,True
REV-0000011,PROP-0132,2025-12-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0132-12-07997 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Samira Khan,True
REV-0000012,PROP-0017,2025-01-01,Vendor Invoice Review,Missing GL code,Low,Invoice INV-0017-01-01022 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Morgan Patel,True
REV-0000013,PROP-0167,2025-08-01,Vendor Invoice Review,Late payment,Low,Invoice INV-0167-08-10084 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Taylor Morgan,True
REV-0000014,PROP-0140,2025-09-01,Vendor Invoice Review,Missing GL code,Medium,Invoice INV-0140-09-08486 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Taylor Morgan,True
REV-0000015,PROP-0008,2025-02-01,Vendor Invoice Review,Late payment,Low,Invoice INV-0008-02-00460 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Cameron Brooks,True
REV-0000016,PROP-0171,2025-02-01,Vendor Invoice Review,Approval status: Rejected,Low,Invoice INV-0171-02-10294 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Nadia Williams,True
REV-0000017,PROP-0075,2025-04-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0075-04-04568 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Casey Rivera,True
REV-0000018,PROP-0138,2025-03-01,Vendor Invoice Review,Late payment,Low,Invoice INV-0138-03-08321 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Drew Thompson,True
REV-0000019,PROP-0124,2025-08-01,Vendor Invoice Review,Late payment,Low,Invoice INV-0124-08-07511 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Taylor Morgan,True
REV-0000020,PROP-0171,2025-04-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0171-04-10304 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Riley Chen,True
REV-0000021,PROP-0027,2025-04-01,Vendor Invoice Review,Late payment,Low,Invoice INV-0027-04-01659 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Taylor Morgan,True
REV-0000022,PROP-0083,2025-11-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0083-11-05070 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Drew Thompson,True
REV-0000023,PROP-0041,2025-04-01,Vendor Invoice Review,Approval status: Pending,High,Invoice INV-0041-04-02464 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Morgan Patel,True
REV-0000024,PROP-0026,2025-07-01,Vendor Invoice Review,Late payment,High,Invoice INV-0026-07-01613 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Cameron Brooks,True
REV-0000025,PROP-0024,2025-10-01,Vendor Invoice Review,Approval status: Pending,Low,Invoice INV-0024-10-01507 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Taylor Morgan,True
REV-0000026,PROP-0131,2025-08-01,Vendor Invoice Review,Approval status: Pending,Low,Invoice INV-0131-08-07923 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Cameron Brooks,True
REV-0000027,PROP-0020,2025-10-01,Vendor Invoice Review,Approval status: Rejected,High,Invoice INV-0020-10-01267 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Samira Khan,True
REV-0000028,PROP-0094,2025-11-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0094-11-05742 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Avery Johnson,True
REV-0000029,PROP-0039,2025-10-01,Vendor Invoice Review,Late payment,High,Invoice INV-0039-10-02368 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Drew Thompson,True
REV-0000030,PROP-0167,2025-07-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0167-07-10074 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Samira Khan,True
REV-0000031,PROP-0154,2025-03-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0154-03-09279 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Jordan Lee,True
REV-0000032,PROP-0143,2025-11-01,Vendor Invoice Review,Approval status: Pending,Low,Invoice INV-0143-11-08673 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Casey Rivera,True
REV-0000033,PROP-0109,2025-10-01,Vendor Invoice Review,Potential duplicate invoice,Medium,Invoice INV-0109-03-06593 requires review: Potential duplicate invoice.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Nadia Williams,True
