property_id,source_boro_block_lot,address,borough,neighborhood,building_classification,asset_type,total_units,year_built,gross_sqft,base_estimated_gross_income,base_estimated_expense,base_net_operating_income,base_full_market_value,source_report_year,property_manager_id,client_account_id,asset_status,source_dataset,source_is_real
PROP-0001,1-00171-7502,354 BROADWAY,Manhattan,CHINATOWN,R4-ELEVATOR,Mixed-Use Condo,12,1900,41204,1606132,449948,1156184,9249000,2017,PM-007,CLIENT-014,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0002,5-00487-7501,7 NAVY PIER COURT,Staten Island,TOMPKINSVILLE,RR  -CONRENT,Mixed-Use Condo,467,2014,361176,8516530,3564807,4951723,39042000,2019,PM-009,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0003,1-00418-7501,113 ELDRIDGE STREET,Manhattan,LOWER EAST SIDE,R4  -ELEVATOR,Mixed-Use Condo,12,2002,7042,343298,98518,244780,1969999,2018,PM-006,CLIENT-010,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0004,1-01381-7504,21 EAST 66 STREET,Manhattan,UPPER EAST SIDE (59-79),R4  -ELEVATOR,Multifamily Condo,19,1941,43682,2091057,397506,1693551,13631002,2018,PM-003,CLIENT-007,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0005,1-02092-7501,680 RIVERSIDE DRIVE,Manhattan,HARLEM-UPPER,R4  -ELEVATOR,Residential Condo,25,1926,24132,571204,209948,361256,2851002,2019,PM-005,CLIENT-011,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0006,5-00230-7501,999 FOREST AVENUE,Staten Island,WEST NEW BRIGHTON,R4  -ELEVATOR,Multifamily Condo,44,1989,28943,591595,205785,385810,2962998,2019,PM-008,CLIENT-011,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0007,1-01756-7502,51 EAST 131 STREET,Manhattan,HARLEM-CENTRAL,R4  -ELEVATOR,Residential Condo,39,2015,27012,1169349,316851,852498,6861994,2018,PM-005,CLIENT-009,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0008,5-03585-7502,145 LINCOLN AVENUE,Staten Island,GRANT CITY,R4  -ELEVATOR,Multifamily Condo,148,1964,133735,2512881,1055169,1457712,10983002,2019,PM-002,CLIENT-007,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0009,1-01458-7501,1154 1 AVENUE,Manhattan,UPPER EAST SIDE (59-79),R9  -CONDOPS,Residential Condo,16,1910,12000,454200,173880,280320,2277000,2019,PM-003,CLIENT-011,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0010,3-02303-7501,72 BERRY STREET,Brooklyn,WILLIAMSBURG-NORTH,R4  -ELEVATOR,Multifamily Condo,26,1910,35801,1080474,352640,727834,5911001,2019,PM-009,CLIENT-002,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0011,3-02469-7501,24 DUNHAM PLACE,Brooklyn,WILLIAMSBURG-SOUTH,R4  -ELEVATOR,Residential Condo,14,2005,13881,370345,157966,212379,1705002,2019,PM-006,CLIENT-001,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0012,2-04668-7501,724 EAST 221 STREET,Bronx,WILLIAMSBRIDGE,R4  -ELEVATOR,Residential Condo,24,2005,29320,472932,228403,244529,1769990,2019,PM-003,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0013,3-02297-7502,125 NORTH 10 STREET,Brooklyn,WILLIAMSBURG-NORTH,R4  -ELEVATOR,Multifamily Condo,86,2007,85905,2421662,1033437,1388225,11173997,2018,PM-010,CLIENT-007,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0014,4-02869-7501,56-16 SEABURY STREET,Queens,ELMHURST,R2  -WALK-UP,Multifamily Condo,9,1987,8100,161109,71766,89343,682001,2019,PM-007,CLIENT-009,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0015,4-05024-7504,38-22 147 STREET,Queens,FLUSHING-NORTH,R4  -ELEVATOR,Multifamily Condo,32,2002,22936,560326,205507,354819,2813003,2019,PM-003,CLIENT-006,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0016,1-00774-7501,252 7 AVENUE,Manhattan,CHELSEA,R4-ELEVATOR,Multifamily Condo,351,1910,552679,30861595,9097096,21764499,174101987,2017,PM-006,CLIENT-005,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0017,1-01848-7502,316 WEST 116 STREET,Manhattan,MANHATTAN VALLEY,R4  -ELEVATOR,Multifamily Condo,14,1900,24987,518980,238876,280104,2096003,2018,PM-008,CLIENT-015,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0018,4-16113-7502,260 BEACH 81 STREET,Queens,HAMMELS,R4  -ELEVATOR,Multifamily Condo,78,2005,86935,2004721,836315,1168406,9176040,2019,PM-008,CLIENT-015,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0019,3-02415-7501,29 SOUTH 3 STREET,Brooklyn,WILLIAMSBURG-SOUTH,R4  -ELEVATOR,Mixed-Use Condo,24,2009,26523,898599,316154,582445,4730000,2019,PM-006,CLIENT-004,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0020,3-02406-7501,299 BEDFORD AVENUE,Brooklyn,WILLIAMSBURG-SOUTH,R4  -ELEVATOR,Retail-Adjacent Condo,32,2003,36768,1171796,373931,797865,6479999,2019,PM-006,CLIENT-001,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0021,3-06802-7501,1765 EAST 19 STREET,Brooklyn,MADISON,R4  -ELEVATOR,Multifamily Condo,11,2006,17080,334597,117852,216745,1649000,2019,PM-007,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0022,3-07298-7502,2408 OCEAN AVENUE,Brooklyn,MADISON,R4  -ELEVATOR,Multifamily Condo,21,2006,37641,801000,277791,523209,4048999,2019,PM-001,CLIENT-015,Stabilized,NYC DOF Condominium Comparable Rental Income,True
