Property ID,Property Address,Borough,Neighborhood,Asset Type,Property Manager,Total Work Orders,Active Backlog Count,Open Work Orders,In Progress Work Orders,Closed Work Orders,Overdue Work Orders,Overdue Active Backlog Count,Critical Priority Count,High Priority Count,Largest Active Backlog Category,Largest Active Backlog Count,Vendors Assigned,Estimated Work Order Cost,Average Days to Close,Latest Opened Date,Backlog Status
PROP-0170,465 WEST 23 STREET,Manhattan,CHELSEA,Mixed-Use Condo,Casey Rivera,102,19,10,9,83,24,9,3,12,Elevator,6,9,54035.61,7.3,2025-12-27,Immediate backlog review
PROP-0135,160 WEST END AVENUE,Manhattan,UPPER WEST SIDE (59-79),Residential Condo,Avery Johnson,79,17,11,6,62,17,8,4,15,HVAC,3,9,43637.86,6.8,2025-12-25,Immediate backlog review
PROP-0171,25 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),Mixed-Use Condo,Cameron Brooks,78,20,9,11,58,16,7,5,14,HVAC,6,9,42325.16,6.1,2025-12-28,Immediate backlog review
PROP-0016,252 7 AVENUE,Manhattan,CHELSEA,Multifamily Condo,Riley Chen,49,12,4,8,37,14,7,6,8,Elevator,3,9,39840.59,6.4,2025-12-26,Immediate backlog review
PROP-0002,7 NAVY PIER COURT,Staten Island,TOMPKINSVILLE,Mixed-Use Condo,Cameron Brooks,73,23,13,10,50,13,6,0,15,Janitorial,6,9,40051.37,6.4,2025-12-26,Immediate backlog review
PROP-0097,416 WEST 52 STREET,Manhattan,CLINTON,Multifamily Condo,Casey Rivera,42,14,6,8,28,10,5,4,6,Common Area,3,9,20556.47,6.4,2025-12-21,Immediate backlog review
PROP-0079,200 EAST 94 STREET,Manhattan,UPPER EAST SIDE (79-96),Multifamily Condo,Morgan Patel,49,14,9,5,35,11,5,3,9,Elevator,3,9,29227.13,6.9,2025-12-28,Immediate backlog review
PROP-0084,886 WESTCHESTER AVENUE,Bronx,MORRISANIA/LONGWOOD,Multifamily Condo,Avery Johnson,34,14,7,7,20,10,5,1,5,Preventive Maintenance,4,9,17631.74,8.3,2025-12-14,Immediate backlog review
PROP-0169,885 AVENUE OF THE AMERICA,Manhattan,FASHION,Multifamily Condo,Samira Khan,53,12,6,6,41,12,5,0,12,Electrical,3,9,25479.89,6.7,2025-12-27,Immediate backlog review
PROP-0122,27 KING STREET,Manhattan,SOHO,Residential Condo,Cameron Brooks,26,8,1,7,18,9,5,2,6,Electrical,3,8,20980.02,7.1,2025-12-21,Immediate backlog review
