Review ID,Month,Property ID,Property Address,Borough,Neighborhood,Asset Type,Property Manager,Finding Owner,Review Type,Issue Category,Severity,Status,Finding Description,Recommendation,Recommended Follow-Up Priority
REV-0002050,2025-12-01,PROP-0049,220 EAST 60 STREET,Manhattan,UPPER EAST SIDE (59-79),Retail-Adjacent Condo,Avery Johnson,Casey Rivera,Operations/SLA Review,Overdue work order,High,Open,High priority HVAC work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0002154,2025-12-01,PROP-0072,700 RIVERSIDE DRIVE,Manhattan,HARLEM-UPPER,Multifamily Condo,Avery Johnson,Avery Johnson,Operations/SLA Review,Overdue work order,High,In Review,High priority Plumbing work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0001595,2025-12-01,PROP-0078,250 EAST HOUSTON STREET,Manhattan,ALPHABET CITY,Multifamily Condo,Avery Johnson,Casey Rivera,Monthly Financial Review,Expense over budget,High,Open,Expense over budget detected for 2025-12-01. Expense variance 12.1%; income variance -18.6%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0002002,2025-12-01,PROP-0084,886 WESTCHESTER AVENUE,Bronx,MORRISANIA/LONGWOOD,Multifamily Condo,Avery Johnson,Morgan Patel,Operations/SLA Review,Overdue work order,High,In Review,High priority Plumbing work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0001887,2025-12-01,PROP-0125,48 BEACH STREET,Manhattan,TRIBECA,Multifamily Condo,Avery Johnson,Avery Johnson,Operations/SLA Review,Overdue work order,High,In Review,High priority HVAC work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0000513,2025-12-01,PROP-0106,467 CENTRAL PARK WEST,Manhattan,MANHATTAN VALLEY,Multifamily Condo,Cameron Brooks,Jordan Lee,Vendor Invoice Review,Late payment,High,Open,Invoice INV-0106-12-06454 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0002019,2025-12-01,PROP-0138,63-36 99 STREET,Queens,REGO PARK,Multifamily Condo,Cameron Brooks,Riley Chen,Operations/SLA Review,Overdue work order,High,Open,High priority Security work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0000643,2025-12-01,PROP-0064,178 DIVISION AVENUE,Brooklyn,75TH Q BROOKLYN,Mixed-Use Condo,Casey Rivera,Riley Chen,Vendor Invoice Review,Approval status: Pending,High,Open,Invoice INV-0064-12-03934 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0000328,2025-12-01,PROP-0127,4721 8 AVENUE,Brooklyn,BOROUGH PARK,Residential Condo,Casey Rivera,Samira Khan,Vendor Invoice Review,Late payment,High,In Review,Invoice INV-0127-12-07708 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0000616,2025-12-01,PROP-0001,354 BROADWAY,Manhattan,CHINATOWN,Mixed-Use Condo,Drew Thompson,Jordan Lee,Vendor Invoice Review,Late payment,High,Open,Invoice INV-0001-12-00060 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0001988,2025-12-01,PROP-0036,130 BRADHURST AVENUE,Manhattan,HARLEM-CENTRAL,Multifamily Condo,Drew Thompson,Cameron Brooks,Operations/SLA Review,Overdue work order,High,In Review,High priority Janitorial work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
